USD,IDR,persen,inflasi,klasifikasi
0,0,20,0,parah
0,0,52,0,parah
0,0,0,0,rendah
0,6500000,0,0,rendah
0,0,0,0,rendah
5180000000,1,1,1,parah
600000000000,0,0,0,parah
0,0,0,0,rendah
0,0,0,0,rendah
1.5,0,0.7,1,parah
0,0,0,0,rendah
0,0,1,1,parah
0,0,0,0,rendah
0,0,0,0,rendah
0,3281000000000,18,0,parah
100000000000,1200000000000,1.7,0,parah
0,0,0,0,rendah
0,0,0,0,rendah
0,0,0,0,rendah
0,0,0,0,rendah
0,0,0,0,rendah
0,0,0,0,rendah
0,0,71,0,parah
0,0,3.7,1,parah
0,30000,0,0,rendah
0,0,0,0,rendah
0,0,0,0,rendah
178000000000,0,14,0,parah
710000000,34320000000000,0,0,parah
0,575900000000000,1.94,1,parah
0,0,1,0,rendah
0,0,0,0,rendah
0,0,0,0,rendah
0,0,0,0,rendah
0,0,0,0,rendah
0,500000,0,0,rendah
100000000000,1200000000000,1.7,0,parah
0,0,0,0,rendah
0,0,30,0,parah
0,0,0,0,rendah
0,0,0,0,rendah
2200000000,34320000000000,0,0,parah
0,0,90,0,parah
42880000,671000000000,35,0,parah
0,0,0,0,rendah
0,0,28,0,parah
0,0,55.5,0,parah
0,0,40,0,parah
0,0,0,0,rendah
0,0,0,0,rendah
106000000000,1661000000000,7,0,parah
0,0,0,0,rendah
0,0,50,0,parah
1,0,0,0,rendah
123000000,1930000000000,1,1,parah
0,0,10,1,parah
62000000000,0,0.37,1,parah
0,0,0,0,rendah
0,0,0,0,rendah
400000000000,6240000000000,5.3,0,parah
0,0,0,0,rendah
0,110,0,0,rendah
0,0,0,0,rendah
0,0,0,0,rendah
0,10,7.17,0,sedang
0,0,0,0,rendah
0,0,0,0,rendah
1,872000000000,75,0,parah
0,0,4,0,rendah
0,0,59.4,0,parah
0,0,0,0,rendah
0,0,0,0,rendah
0,0,0,0,rendah
0,0,0,0,rendah
0,872000000000,75,0,parah
0,0,0,0,rendah
0,0,0,0,rendah
0,0,15,0,parah
0,0,0,0,rendah
0,0,0,0,rendah
0,1,7.09,0,sedang
0,0,0,0,rendah
0,0,0,0,rendah
0,0,0,0,rendah
0,0,0,0,rendah
0,70000000,0,0,rendah
0,0,0,0,rendah
0,0,0,0,rendah
0,0,0,0,rendah
0,0,0,0,rendah
0,0,0,0,rendah
0,872000000000,75,0,parah
0,0,0,0,rendah
0,0,0,0,rendah
0,0,0,0,rendah
0,0,0,0,rendah
0,0,0,0,rendah
0,114000000000,0,0,parah
0,0,75,0,parah
0,0,0,0,rendah
0,114000000000,0,0,parah
0,114000000000,0,0,parah
0,1,1,1,parah
0,0,0,0,rendah
0,0,0,0,rendah
0,0,0,0,rendah
0,0,0,0,rendah
0,0,96,0,parah
1,0,0,0,rendah
0,0,0,0,rendah
0,0,0,0,rendah
0,0,0,0,rendah
0,1,10,1,parah
0,1000,90,0,parah
500000000000,82900000000000,0,0,parah
0,0,96,0,parah
0,0,96,0,parah
0,0,0,0,rendah
0,0,0,0,rendah
0,0,0,0,rendah
0,0,0,0,rendah
0,0,0,0,rendah
0,3700000,0,0,rendah
0,0,60,0,parah
1,3000000000000,5.9,0,parah
0,0,90,0,parah
0,0,0,0,rendah
0,0,0,0,rendah
0,0,0,0,rendah
0,0,0,0,rendah
0,150000,0,0,rendah
0,0,0,0,rendah
0,16800,100,0,parah
0,0,0,0,rendah
0,0,17,0,parah
0,0,0,0,rendah
0,0,0,0,rendah
0,1,1,1,parah
0,0,0,0,rendah
0,0,0,0,rendah
0,0,6.62,1,parah
0,0,0,1,parah
1789,15600,1.31,0,rendah
0,0,0,0,rendah
0,3820000000,0,1,parah
0,1500000000000,50,0,parah
0,0,0,0,rendah
0,0,0,0,rendah
0,0,330,0,parah
0,0,0,0,rendah
0,0,0,0,rendah
0,0,0,0,rendah
0,1,7.09,0,sedang
0,0,0,0,rendah
0,0,0,0,rendah
0,0,0,0,rendah
0,0,0,0,rendah
0,0,30,0,parah
0,0,0,0,rendah
47700000000,744120000000000,0,0,parah
0,0,1,1,parah
0,0,0,0,rendah
0,0,0,0,rendah
0,93,7.0,0,sedang
0,4500000,7.50,0,sedang
0,0,0,0,rendah
0,300000000000,0,0,parah
0,3700000,0,0,rendah
0,0,0,0,rendah
0,0,100,0,parah
0,0,0,0,rendah
0,0,5,0,rendah
0,0,0,0,rendah
0,0,0,0,rendah
0,0,0,0,rendah
0,0,0,0,rendah
0,0,0,0,rendah
0,0,0,0,rendah
0,18100000000000,30,0,parah
0,0,0,0,rendah
50000000,0,18,0,parah
0,8700000000,0,0,parah
0,0,0,0,rendah
0,1,8,0,sedang
0,1,6.54,0,sedang
0,0,10.4,0,parah
0,0,0,0,rendah
0,0,0,0,rendah
0,53000000,0,0,rendah
0,0,5,0,rendah
0,1,7.93,1,parah
0,0,0,0,rendah
0,0,0,0,rendah
0,100,6.64,0,sedang
0,20500000,0,0,rendah
0,0,18,0,parah
0,5000000000000,0,0,parah
0,0,0,0,rendah
0,0,0,0,rendah
77000000000,18100000000000,30,0,parah
0,0,0,0,rendah
0,12940000000000,92,0,parah
0,0,30,0,parah
0,0,0,0,rendah
0,4000000000000,0,0,parah
0,0,0,0,rendah
0,18100000000000,70,0,parah
0,0,0,0,rendah
0,0,0,0,rendah
0,5,0,0,rendah
0,0,70,0,parah
0,0,0,0,rendah
0,0,0,0,rendah
0,0,6.4,1,parah
0,0,13,1,parah
0,25000,0,0,rendah
0,0,70,0,parah
3800000000,0,-8.7,0,parah
0,0,73.2,1,parah
0,0,0,0,rendah
