tingkat setelah parent,parent,similarity
4,dekompresi,"[('malafungsi', 0.7007642388343811), ('kebocoran', 0.6655020713806152), ('penumpukan', 0.660905659198761), ('pemuaian', 0.6596372723579407), ('turbulensi', 0.6371356248855591), ('pendinginan', 0.6313585638999939), ('tabrakan', 0.6292100548744202), ('kecelakan', 0.6194484233856201), ('penyusutan', 0.6142538189888), ('asfiksia', 0.612649142742157)]"
4,terbakarnya,"[('meledaknya', 0.7096984386444092), ('tenggelamnya', 0.6451982259750366), ('tertabrak', 0.5629027485847473), ('sewol', 0.5540152788162231), ('tertimpa', 0.5524292588233948), ('diterjang', 0.5516857504844666), ('hancurnya', 0.5464107394218445), ('kecelakan', 0.5463445782661438), ('musibah', 0.5382382869720459), ('terserempet', 0.5323686003684998)]"
4,pengendapan,"[('pelapukan', 0.8375971913337708), ('sedimentasi', 0.8229807019233704), ('kristalisasi', 0.8218666911125183), ('dekomposisi', 0.7956209778785706), ('pelarutan', 0.7930854558944702), ('alterasi', 0.7839722633361816), ('endapan', 0.7707325220108032), ('kondensasi', 0.7682121396064758), ('penguapan', 0.7673531770706177), ('erosi', 0.7605286836624146)]"
4,pelapukan,"[('pengendapan', 0.8375972509384155), ('dekomposisi', 0.7939118146896362), ('alterasi', 0.7929985523223877), ('sedimentasi', 0.7789401412010193), ('kristalisasi', 0.7545405030250549), ('endapan', 0.7531148791313171), ('erosi', 0.7444639801979065), ('pelarutan', 0.7351244688034058), ('pengikisan', 0.7347181439399719), ('kondensasi', 0.7229787111282349)]"
4,intrusi,"[('sedimen', 0.7837346196174622), ('endapan', 0.7480304837226868), ('pengendapan', 0.7398062944412231), ('rekahan', 0.7319318056106567), ('perlapisan', 0.7206568121910095), ('erosi', 0.7073605060577393), ('batuan', 0.7063844203948975), ('lelehan', 0.7035021781921387), ('basal', 0.7016777992248535), ('pelapukan', 0.7011781930923462)]"
4,penyusutan,"[('penurunan', 0.7657161951065063), ('penipisan', 0.7489328384399414), ('berkurangnya', 0.7328549027442932), ('sedimentasi', 0.7283625602722168), ('pertambahan', 0.7130846381187439), ('pengikisan', 0.7130582928657532), ('fluktuasi', 0.7102916836738586), ('lonjakan', 0.7054776549339294), ('erosi', 0.702079713344574), ('pengurangan', 0.6992964744567871)]"
4,kontaminasi,"[('pembusukan', 0.7676247954368591), ('penumpukan', 0.7233625650405884), ('dehidrasi', 0.7141737341880798), ('keracunan', 0.7139449715614319), ('penipisan', 0.7112136483192444), ('pestisida', 0.7101202607154846), ('kebocoran', 0.7072194218635559), ('korosi', 0.7070066332817078), ('kontaminan', 0.7006412148475647), ('erosi', 0.7001863718032837)]"
4,meluap,"[('luapan', 0.7316170334815979), ('menggenangi', 0.7049257755279541), ('deras', 0.6948120594024658), ('luap', 0.6822806596755981), ('terendam', 0.6619406938552856), ('tergenang', 0.6580607891082764), ('membanjiri', 0.6462264657020569), ('meluapnya', 0.6393478512763977), ('hanyut', 0.6387417912483215), ('keruh', 0.6366848349571228)]"
4,meluapnya,"[('suktimati', 0.705256462097168), ('citanduy', 0.6961756944656372), ('songhua', 0.6812452673912048), ('luapan', 0.6789474487304688), ('rangkui', 0.6770967841148376), ('silugonggo', 0.6642953753471375), ('nakdong', 0.6617617607116699), ('tarab', 0.6603918671607971), ('banjirnya', 0.6516576409339905), ('cisanggarung', 0.6512240171432495)]"
4,genangan,"[('tergenang', 0.7422370314598083), ('payau', 0.7352718114852905), ('resapan', 0.7334978580474854), ('keruh', 0.7260036468505859), ('digenangi', 0.712494969367981), ('menggenang', 0.7066106200218201), ('terendam', 0.6948943734169006), ('penguapan', 0.6872930526733398), ('peresapan', 0.684366762638092), ('kesadahan', 0.6834555864334106)]"
