tingakt,parent,similarity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
3,kurash,"[('binaraga', 0.619120717048645), ('petanque', 0.6159763932228088), ('pancalomba', 0.5922893285751343), ('wushu', 0.583563506603241), ('kempo', 0.5725167989730835), ('judo', 0.5654606819152832), ('taekwondo', 0.5550271272659302), ('kyokushin', 0.5500490665435791), ('sofbol', 0.5454476475715637), ('badminton', 0.5399368405342102)]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26
3,ritmik,"[('senam', 0.6896585822105408), ('ritmis', 0.6161940693855286), ('gimnastik', 0.5957821011543274), ('ritme', 0.5897263884544373), ('berirama', 0.5821155309677124), ('putrisenam', 0.5424408316612244), ('akrobatik', 0.5410178303718567), ('gymnastic', 0.540900707244873), ('trompet', 0.5346843600273132), ('drumband', 0.5288873910903931)]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27
3,gimnastik,"[('taekwondo', 0.6806111335754395), ('cheerleaders', 0.6780716180801392), ('gymnastic', 0.6728520393371582), ('marawis', 0.6727896332740784), ('volly', 0.6697325110435486), ('volley', 0.6490643620491028), ('softball', 0.6472839713096619), ('drumband', 0.646374523639679), ('anggar', 0.6352552771568298), ('bulutangkis', 0.6351186037063599)]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28
3,dansa,"[('disko', 0.7086701989173889), ('senam', 0.6290728449821472), ('berdansa', 0.5794535279273987), ('menari', 0.573640763759613), ('balet', 0.5516897439956665), ('bernyanyi', 0.55144864320755), ('kabaret', 0.5477287769317627), ('salsa', 0.5453407764434814), ('menyanyi', 0.544083833694458), ('nyanyi', 0.5397254824638367)]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29
3,pilates,"[('fitnes', 0.6134804487228394), ('senam', 0.6064451932907104), ('gimnastik', 0.5968678593635559), ('panahan', 0.5903583765029907), ('taekwondo', 0.5639671087265015), ('judo', 0.5599347949028015), ('jujitsu', 0.539023756980896), ('volly', 0.5257625579833984), ('kebugaran', 0.5247810482978821), ('olahraganya', 0.5222952961921692)]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30
3,gor,"[('popki', 0.6913715600967407), ('jakabaring', 0.6819586753845215), ('manahan', 0.6795481443405151), ('maguwoharjo', 0.671252965927124), ('sasana', 0.670263409614563), ('kridosono', 0.6638478636741638), ('gelora', 0.6448856592178345), ('simprug', 0.6355024576187134), ('cibubur', 0.6345946788787842), ('arcamanik', 0.6345424056053162)]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31
3,indoor,"[('outdoor', 0.721747100353241), ('tennis', 0.6897925138473511), ('squash', 0.6606946587562561), ('hockey', 0.6516088247299194), ('badminton', 0.646937370300293), ('billiard', 0.6435527801513672), ('olympic', 0.6329622864723206), ('softball', 0.6286473870277405), ('gymnastics', 0.6236517429351807), ('popki', 0.6168895959854126)]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32
3,petanque,"[('bulutangkis', 0.7421484589576721), ('badminton', 0.7321289777755737), ('softball', 0.6808857321739197), ('sofbol', 0.6680514216423035), ('wushu', 0.6601846814155579), ('taekwondo', 0.6514496207237244), ('futsal', 0.633281946182251), ('judo', 0.6268934011459351), ('volleyball', 0.6185497641563416), ('kurash', 0.6159763932228088)]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33
3,sasana,"[('ganesha', 0.6840144991874695), ('gor', 0.670263409614563), ('graha', 0.6166894435882568), ('krida', 0.6004141569137573), ('handrawina', 0.5902448892593384), ('widya', 0.5878886580467224), ('wiyata', 0.5758443474769592), ('sumewa', 0.5733386874198914), ('padepokan', 0.5726105570793152), ('wima', 0.5684767961502075)]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34
3,biliar,"[('kasti', 0.7705169916152954), ('bilyard', 0.7497522830963135), ('snooker', 0.7294223308563232), ('billiard', 0.7164708971977234), ('volley', 0.7157180309295654), ('voli', 0.7116395235061646), ('sofbol', 0.6915801763534546), ('boling', 0.6912345886230469), ('voly', 0.6867340803146362), ('volly', 0.678678035736084)]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35
